industries,skills
Customer Service,Kênh MT
Customer Service,Hàng Tiêu Dùng
Customer Service,hàng tiêu dùng nhanh
Customer Service,Bán Hàng
Customer Service,Quản Lý Doanh Số
Sales,Kênh MT
Sales,Hàng Tiêu Dùng
Sales,hàng tiêu dùng nhanh
Sales,Bán Hàng
Sales,Quản Lý Doanh Số
Marketing,Chiến lược tài liệu tiếp thị
Marketing,Lập kế hoạch truyền thông xã hội
Marketing,Sản xuất nội dung
Marketing,Quản lý quảng cáo
Marketing,Tạo nội dung
Accounting,Kế Toán Tổng Hợp
Accounting,Hạch Toán Chi Phí
Accounting,Doanh Thu Công Nợ
Accounting,Báo Cáo Tài Chính
Accounting,Giao Dịch Chứng Từ
Auditing,Kế Toán Tổng Hợp
Auditing,Hạch Toán Chi Phí
Auditing,Doanh Thu Công Nợ
Auditing,Báo Cáo Tài Chính
Auditing,Giao Dịch Chứng Từ
Finance/Investment,Kế Toán Tổng Hợp
Finance/Investment,Hạch Toán Chi Phí
Finance/Investment,Doanh Thu Công Nợ
Finance/Investment,Báo Cáo Tài Chính
Finance/Investment,Giao Dịch Chứng Từ
Marketing,English
Marketing,Tiếp thị thương mại
Marketing,Phân tích dữ liệu
Marketing,Nghiên cứu thị trường
Marketing,Nhiếp ảnh
Sales,Tìm Kiếm Khách Hàng
Sales,Chăm Sóc Khách Hàng
Sales,Tư Vấn Sản Phẩm
Sales,Tín Dụng Ngân Hàng
Sales,Tư Vấn Tài Chính
Finance/Investment,Tìm Kiếm Khách Hàng
Finance/Investment,Chăm Sóc Khách Hàng
Finance/Investment,Tư Vấn Sản Phẩm
Finance/Investment,Tín Dụng Ngân Hàng
Finance/Investment,Tư Vấn Tài Chính
Civil/Construction,Giám Sát Thi Công
Civil/Construction,Giám Sát Xây Dựng
Civil/Construction,Xây Dựng Dân Dụng
Civil/Construction,Lập Kế Hoạch Thi Công Dự Án
Civil/Construction,Triển Khai Thi Công Công Trình
Civil/Construction,Thiết Kế Nội Thất
Civil/Construction,Thiết Kế Kiến Trúc
Civil/Construction,Revit
Civil/Construction,Bản phác thảo
Civil/Construction,AutoCAD
Civil/Construction,English
Civil/Construction,Quản lý lịch trình
Civil/Construction,Kiểm soát chất lượng
Civil/Construction,Thiết Kế Cơ Điện
Civil/Construction,BẢO TRÌ
Electrical/Electronics,English
Electrical/Electronics,Quản lý lịch trình
Electrical/Electronics,Kiểm soát chất lượng
Electrical/Electronics,Thiết Kế Cơ Điện
Electrical/Electronics,BẢO TRÌ
Sales,Quan Hệ Khách Hàng Cá Nhân
Sales,Tín Dụng
Sales,Quan Hệ Khách Hàng
Sales,Tín Dụng Cá Nhân
Sales,Ngân Hàng
Finance/Investment,Quan Hệ Khách Hàng Cá Nhân
Finance/Investment,Tín Dụng
Finance/Investment,Quan Hệ Khách Hàng
Finance/Investment,Tín Dụng Cá Nhân
Finance/Investment,Ngân Hàng
Sales,Phát Triển Kinh Doanh
Sales,Quảng Bá Thương Hiệu
Sales,Kinh Doanh Dự Án
Sales,Quản Trị Marketing
Sales,Mạng Lưới Khách Hàng
Marketing,Sale B2B
Marketing,Chiến lược bán hàng
Marketing,Phân tích thị trường
Marketing,Dự báo phát triển
Marketing,Phát triển kinh doanh
Sales,Sale B2B
Sales,Chiến lược bán hàng
Sales,Phân tích thị trường
Sales,Dự báo phát triển
Sales,Phát triển kinh doanh
Human Resources,Giáo Dục Đào Tạo
Human Resources,Quản Lý
Human Resources,Giáo Dục
Customer Service,Sales Development
Customer Service,Tư duy chăm sóc khách hàng
Customer Service,Nghiên cứu thị trường
Customer Service,Tìm Kiếm Khách Hàng
Customer Service,bộ phần mềm Microsoft Office
Sales,Sales Development
Sales,Tư duy chăm sóc khách hàng
Sales,Nghiên cứu thị trường
Sales,Tìm Kiếm Khách Hàng
Sales,bộ phần mềm Microsoft Office
Marketing,tiếng Nhật
Marketing,Phát triển kinh doanh
Marketing,Quản Lý Bán Hàng
Marketing,Theo Dõi Tiến Độ
Marketing,Phân Tích Thị Trường
Sales,tiếng Nhật
Sales,Phát triển kinh doanh
Sales,Quản Lý Bán Hàng
Sales,Theo Dõi Tiến Độ
Sales,Phân Tích Thị Trường
Human Resources,C&B
Human Resources,Kỹ năng quản lý công việc
Human Resources,Khả năng đàm phán
Human Resources,Quản lý nhân sự
Human Resources,Psychology
Accounting,Tiếng Anh
Accounting,Microsoft Office
Accounting,Tín Dụng Ngân Hàng
Accounting,Tài Chính Tín Dụng
Accounting,Quản Lý Dữ Liệu
Finance/Investment,Tiếng Anh
Finance/Investment,Microsoft Office
Finance/Investment,Tín Dụng Ngân Hàng
Finance/Investment,Tài Chính Tín Dụng
Finance/Investment,Quản Lý Dữ Liệu
Accounting,Kiểm toán
Accounting,Đảm bảo
Accounting,Financial Statement
Accounting,Kế toán
Accounting,Kỹ năng kiểm toán
Auditing,Kiểm toán
Auditing,Đảm bảo
Auditing,Financial Statement
Auditing,Kế toán
Auditing,Kỹ năng kiểm toán
Finance/Investment,Kiểm toán
Finance/Investment,Đảm bảo
Finance/Investment,Financial Statement
Finance/Investment,Kế toán
Finance/Investment,Kỹ năng kiểm toán
Sales,Tài Chính
Sales,Quản Trị Kinh Doanh
Sales,Tài Chính Kinh Tế
Sales,Bảo Hiểm
Sales,Tư Vấn Tài Chính
Finance/Investment,Tài Chính
Finance/Investment,Quản Trị Kinh Doanh
Finance/Investment,Tài Chính Kinh Tế
Finance/Investment,Bảo Hiểm
Finance/Investment,Tư Vấn Tài Chính
Administrative/Clerical,Bàn Giao Nhà Đất
Administrative/Clerical,Trợ Lý Hành Chính
Administrative/Clerical,Bất Động Sản
Administrative/Clerical,Thư Ký
Administrative/Clerical,Thư Ký Dự Án
Customer Service,Bàn Giao Nhà Đất
Customer Service,Trợ Lý Hành Chính
Customer Service,Bất Động Sản
Customer Service,Thư Ký
Customer Service,Thư Ký Dự Án
Marketing,Công nghiệp hóa chất
Marketing,B2B Sales
Marketing,Quy trình sản xuất
Marketing,Kiến thức dịch vụ khách hàng
Marketing,Phát triển tiếp thị
Sales,Công nghiệp hóa chất
Sales,B2B Sales
Sales,Quy trình sản xuất
Sales,Kiến thức dịch vụ khách hàng
Sales,Phát triển tiếp thị
Marketing,Kinh Doanh
Marketing,Tiếng Trung
Marketing,Tiếng Anh
Marketing,Tiếng Hàn
Marketing,Phát Triển Thị Trường
Sales,Kinh Doanh
Sales,Tiếng Trung
Sales,Tiếng Anh
Sales,Tiếng Hàn
Sales,Phát Triển Thị Trường
Accounting,Quyết Toán Thuế
Accounting,Lập Báo Cáo Thuế
Accounting,Hạch toán kế toán
Accounting,Lập Báo Cáo Tài Chính
Accounting,Quản Lý Hệ Thống Kế Toán
Auditing,Quyết Toán Thuế
Auditing,Lập Báo Cáo Thuế
Auditing,Hạch toán kế toán
Auditing,Lập Báo Cáo Tài Chính
Auditing,Quản Lý Hệ Thống Kế Toán
Finance/Investment,Quyết Toán Thuế
Finance/Investment,Lập Báo Cáo Thuế
Finance/Investment,Hạch toán kế toán
Finance/Investment,Lập Báo Cáo Tài Chính
Finance/Investment,Quản Lý Hệ Thống Kế Toán
Finance/Investment,Quản lý dự án
Finance/Investment,Quản Lý Dự Án
Finance/Investment,Tài Chính Ngân Hàng
Finance/Investment,Ngân Hàng
Finance/Investment,Phương pháp PMP
Customer Service,Cái nhìn sâu sắc về khách hàng
Customer Service,Quản lý Kinh nghiệm Khách hàng
Customer Service,Thống kê kinh doanh
Customer Service,Dịch Vụ Khách Hàng
Customer Service,Dự báo tài chính
Finance/Investment,Cái nhìn sâu sắc về khách hàng
Finance/Investment,Quản lý Kinh nghiệm Khách hàng
Finance/Investment,Thống kê kinh doanh
Finance/Investment,Dịch Vụ Khách Hàng
Finance/Investment,Dự báo tài chính
Finance/Investment,Bảo Hiểm
Finance/Investment,Chăm Sóc Khách Hàng
Finance/Investment,Bảo Hiểm Nhân Thọ
Finance/Investment,Tư Vấn Bán Hàng
Finance/Investment,Thủ Tục Bồi Thường
Marketing,Nghiên cứu thị trường
Marketing,Nghiên Cứu Thị Trường
Marketing,Phân tích nghiên cứu vốn cổ phần
Marketing,Ngân Hàng
Marketing,Phân tích thống kê
Customer Service,Sự quản lý
Customer Service,Khách sạn
Customer Service,Khách hàng dịch vụ
Electrical/Electronics,Thiết kế kỹ thuật số
Electrical/Electronics,RTL Verification
Sales,Kinh Doanh
Sales,Chăm Sóc Khách Hàng
Sales,Máy Xây Dựng
Sales,Sales Enginee
Sales,Ô Tô
Sales,Tìm Kiếm Khách Hàng
Sales,Sản Phẩm Dầu Khí
Sales,Mua Hàng Trong Nước
Sales,Thu Mua Kỹ Thuật
Sales,Lập Hồ Sơ Thầu
Sales,Bán Hàng Kỹ Thuật
Sales,Bán Hàng
Sales,Kinh Doanh
Sales,Kỹ năng kỹ thuật bán hàng
Sales,Sales Technical
Civil/Construction,Quản Lý Chất Lượng Xây Dựng
Civil/Construction,Kỹ Thuật Xây Dựng
Civil/Construction,CAD
Civil/Construction,Làm Hồ Sơ Thanh Quyết Toán
Civil/Construction,Quản Lí Khối Lượng
Sales,hậu cần
Sales,Chuỗi cung ứng
Sales,Sale B2B
Sales,Sale Freight Forwarding
Sales,Phát triển kinh doanh
Sales,Nghiên cứu thị trường
Sales,Sales Management
Sales,Bán kỹ thuật
Sales,In ấn
Sales,Quản lý vận hành
Civil/Construction,AutoCAD
Civil/Construction,Quản Lý Chi Phí Dự Án
Civil/Construction,Giám Sát Thi Công
Civil/Construction,Theo Dõi Tiến Độ
Civil/Construction,Đào Tạo Nội Bộ
Marketing,Tiếp thị Truyền thông
Marketing,Tạo nội dung
Marketing,Theo dõi hiệu suất
Marketing,Lập kế hoạch chiến dịch
Marketing,Sự kiện
Administrative/Clerical,Tiếng Anh Giao Tiếp
Administrative/Clerical,English Skill
Customer Service,Tiếng Anh Giao Tiếp
Customer Service,English Skill
Human Resources,Tiếng Anh Giao Tiếp
Human Resources,English Skill
Marketing,Quảng Cáo
Marketing,Khai Thác Nguồn Hàng
Marketing,Quản Trị Kinh Doanh
Marketing,Bán Hàng
Marketing,Kênh tiếp thị
Sales,Quảng Cáo
Sales,Khai Thác Nguồn Hàng
Sales,Quản Trị Kinh Doanh
Sales,Bán Hàng
Sales,Kênh tiếp thị
Marketing,Xây Dựng Thương Hiệu
Marketing,Dịch Vụ Làm Đẹp
Marketing,Marketing Mỹ Phẩm
Marketing,Tiếp thị thương hiệu
Marketing,Kế hoạch tiếp thị
Sales,AutoCAD
Sales,Báo giá
Sales,Quản lí hợp đồng
Sales,Stragegic Sourcing
Sales,Chuẩn bị đề xuất
Electrical/Electronics,AutoCAD
Electrical/Electronics,Báo giá
Electrical/Electronics,Quản lí hợp đồng
Electrical/Electronics,Stragegic Sourcing
Electrical/Electronics,Chuẩn bị đề xuất
Human Resources,Tiếp thị Truyền thông
Human Resources,Tiếp thị nội dung
Human Resources,Giao tiếp
Human Resources,Tiếp thị kỹ thuật số
Marketing,Tiếp thị Truyền thông
Marketing,Tiếp thị nội dung
Marketing,Giao tiếp
Marketing,Tiếp thị kỹ thuật số
Marketing,Bán Hàng
Marketing,Tiếng Anh
Marketing,Chăm Sóc Khách Hàng
Marketing,Marketing Y Tế
Sales,Bán Hàng
Sales,Tiếng Anh
Sales,Chăm Sóc Khách Hàng
Sales,Marketing Y Tế
Finance/Investment,Thu Hồi Nợ
Finance/Investment,Thu Hồi Nợ Thẻ Tín Dụng
Finance/Investment,Thu Hồi Nợ Xấu
Finance/Investment,Thu Hồi Nợ Trực Tiếp
Finance/Investment,Vay Tín Chấp
Accounting,Quản Lý Dữ Liệu
Accounting,Tiếng Anh
Accounting,Tiếng Nhật
Accounting,Kaizen
Accounting,Tin Học Văn Phòng
Finance/Investment,Quản Lý Dữ Liệu
Finance/Investment,Tiếng Anh
Finance/Investment,Tiếng Nhật
Finance/Investment,Kaizen
Finance/Investment,Tin Học Văn Phòng
Accounting,FTP
Accounting,Phân Tích Tài Chính
Finance/Investment,FTP
Finance/Investment,Phân Tích Tài Chính
Finance/Investment,Phát triển cộng đồng
Finance/Investment,Giao tiếp
Finance/Investment,Phát triển kinh doanh
Finance/Investment,Quản lý dự án
Finance/Investment,Tài Chính Ngân Hàng
Administrative/Clerical,Khoa học máy tính
Administrative/Clerical,Engineering
Administrative/Clerical,Quản lý dự án
Administrative/Clerical,Thủ tướng SAP
Administrative/Clerical,đề tài thạc sĩ
Administrative/Clerical,Dịch Vụ Khách Hàng
Administrative/Clerical,Giao tiếp
Administrative/Clerical,Y Tế
Administrative/Clerical,Quan hệ khách hàng
Administrative/Clerical,English
Customer Service,Dịch Vụ Khách Hàng
Customer Service,Giao tiếp
Customer Service,Y Tế
Customer Service,Quan hệ khách hàng
Customer Service,English
Accounting,Kỹ năng phân tích
Accounting,ERP
Accounting,English
Accounting,Microsoft Office
Accounting,Tính giá thành sản phẩm
Accounting,English
Accounting,Kế toán
Accounting,Kế Toán
Accounting,Fund Accounting
Accounting,Làm việc theo nhóm
Finance/Investment,English
Finance/Investment,Kế toán
Finance/Investment,Kế Toán
Finance/Investment,Fund Accounting
Finance/Investment,Làm việc theo nhóm
Electrical/Electronics,Điện Tử
Electrical/Electronics,Kỹ thuật điện
Electrical/Electronics,Tự Động Hóa
Electrical/Electronics,Cơ Điện
Electrical/Electronics,Điện Công Nghiệp
Sales,Tìm Kiếm Khách Hàng
Sales,Kinh Doanh
Sales,Cho Thuê Tài Chính
Sales,Quan Hệ Khách Hàng
Sales,Tín Dụng
Finance/Investment,Tìm Kiếm Khách Hàng
Finance/Investment,Kinh Doanh
Finance/Investment,Cho Thuê Tài Chính
Finance/Investment,Quan Hệ Khách Hàng
Finance/Investment,Tín Dụng
Customer Service,Automotive Engineering
Customer Service,Tư vấn kỹ thuật
Customer Service,Cố Vấn Dịch Vụ Ô Tô
Customer Service,Hậu Mãi Khách Hàng
Sales,Model Making
Sales,Sales Consulting
Sales,Nghiên cứu thị trường
Sales,Nhà phân tích dữ liệu
Sales,Tư duy hệ thống
Finance/Investment,Model Making
Finance/Investment,Sales Consulting
Finance/Investment,Nghiên cứu thị trường
Finance/Investment,Nhà phân tích dữ liệu
Finance/Investment,Tư duy hệ thống
Civil/Construction,Thiết Kế Dự Án Công Trình
Civil/Construction,Kiến Trúc Dân Dụng
Civil/Construction,Công Trình Đô Thị
Civil/Construction,Phân Tích Kiến Trúc
Civil/Construction,Kiến Trúc Xây Dựng
Customer Service,Dịch Vụ
Customer Service,Vận Hành
Customer Service,Quản Lý
Customer Service,Marketing Đại Lý
Customer Service,Chăm Sóc Khách Hàng
Marketing,Dịch Vụ
Marketing,Vận Hành
Marketing,Quản Lý
Marketing,Marketing Đại Lý
Marketing,Chăm Sóc Khách Hàng
Accounting,Tài Chính Ngân Hàng
Accounting,Tái cơ cấu doanh nghiệp
Accounting,Hoạt động tài chính
Accounting,Ngân Hàng
Accounting,Tái cơ cấu
Finance/Investment,Tài Chính Ngân Hàng
Finance/Investment,Tái cơ cấu doanh nghiệp
Finance/Investment,Hoạt động tài chính
Finance/Investment,Ngân Hàng
Finance/Investment,Tái cơ cấu
Marketing,Truyền thông đại chúng
Marketing,Truyền Thông
Marketing,Truyền Thông Đại Chúng
Marketing,Quan hệ công chúng
Marketing,Tiếp thị sự kiện
Marketing,Nhà phân tích dữ liệu
Marketing,Phân tích dữ liệu
Marketing,Phân Tích Dữ Liệu
Marketing,Kỹ năng phân tích
Marketing,Phân Tích
Finance/Investment,Nhà phân tích dữ liệu
Finance/Investment,Phân tích dữ liệu
Finance/Investment,Phân Tích Dữ Liệu
Finance/Investment,Kỹ năng phân tích
Finance/Investment,Phân Tích
Sales,Kinh Doanh
Sales,hậu cần
Sales,Chuyển tiếp
Sales,Tiếng Anh
Sales,Sales Logistics
Sales,Giảm giá tích cực
Sales,Tư duy quản lý
Sales,bán hàng
Sales,Sales Logistics
Sales,Pricing
Customer Service,Bảo hiểm
Customer Service,English
Customer Service,Risk Assessment
Customer Service,Bảo lãnh bảo hiểm
Customer Service,Luật bảo hiểm
Finance/Investment,Bảo hiểm
Finance/Investment,English
Finance/Investment,Risk Assessment
Finance/Investment,Bảo lãnh bảo hiểm
Finance/Investment,Luật bảo hiểm
Auditing,Tài Chính
Auditing,Tài Chính Tập Đoàn
Auditing,Tài Chính Ngân Hàng
Auditing,Phân Tích Tài Chính
Auditing,Kiểm Soát Tài Chính
Finance/Investment,Tài Chính
Finance/Investment,Tài Chính Tập Đoàn
Finance/Investment,Tài Chính Ngân Hàng
Finance/Investment,Phân Tích Tài Chính
Finance/Investment,Kiểm Soát Tài Chính
Sales,Sales Kỹ Thuật
Sales,Service Sales
Sales,Bán Hàng Kỹ Thuật
Sales,Bán Hàng
Sales,Sales Direct
Electrical/Electronics,Sales Kỹ Thuật
Electrical/Electronics,Service Sales
Electrical/Electronics,Bán Hàng Kỹ Thuật
Electrical/Electronics,Bán Hàng
Electrical/Electronics,Sales Direct
Customer Service,Tư Vấn Tài Chính
Customer Service,Giao Dịch Ngân Hàng
Customer Service,Giới Thiệu Sản Phẩm
Customer Service,Dịch vụ VIP
Customer Service,Dịch Vụ Khách Hàng
Finance/Investment,Tư Vấn Tài Chính
Finance/Investment,Giao Dịch Ngân Hàng
Finance/Investment,Giới Thiệu Sản Phẩm
Finance/Investment,Dịch vụ VIP
Finance/Investment,Dịch Vụ Khách Hàng
Sales,Bán hàng kỹ thuật
Sales,Sales Home Appliances
Sales,Kinh Doanh
Sales,Bán Hàng
Sales,AC Điện Lạnh
Sales,Kỹ năng kỹ thuật bán hàng
Sales,Bán Hàng
Sales,Kinh Doanh
Sales,Ngành Điện Lạnh
Sales,Thiết Bị Nhiệt Lạnh
Auditing,Quản Trị Tài Chính
Auditing,Quản Trị Nguồn Vốn
Auditing,Đầu Tư Tài Chính
Auditing,Phân Tích Tài Chính
Auditing,Quản Lý Kế Hoạch Tài Chính
Finance/Investment,Quản Trị Tài Chính
Finance/Investment,Quản Trị Nguồn Vốn
Finance/Investment,Đầu Tư Tài Chính
Finance/Investment,Phân Tích Tài Chính
